id;bib;lastname;firstname;birthyear;abNat;abCat
79 ;"" ;"GREEN" ;"Meath" ;"" ;"SURY" ;"" ;
80 ;"" ;"KENT" ;"Royal" ;"" ;"SURY" ;"" ;
81 ;"" ;"PREP SCHOOL" ;"Chesham" ;"" ;"BCKS" ;"" ;
82 ;"" ;"HOUSE SCHOOL" ;"Thorpe" ;"" ;"BCKS" ;"" ;
83 ;"" ;"PREP SCHOOL" ;"Chesham" ;"" ;"BCKS" ;"" ;
84 ;"" ;"GREEN SCHOOL" ;"Maltman's" ;"" ;"BCKS" ;"" ;
85 ;"" ;"HOUSE" ;"Heatherton" ;"" ;"BCKS" ;"" ;
86 ;"" ;"HILL" ;"Danes" ;"" ;"SURY" ;"" ;
87 ;"" ;"DOWNSEND" ;"Downsend" ;"" ;"SURY" ;"" ;
88 ;"" ;"LANESBOROUGH" ;"Lanesborough" ;"" ;"SURY" ;"" ;
